Mean,Standart_Deviation,Energy,Entropy,Skewness,Class
129.764678682,72.4410280811,0.5088810929,0.5088810929,9763649306.7,0
129.665598291,71.6939355211,0.5084925423,0.5084925423,8563486443.46,2
128.7434903,73.1239459506,0.5048764325,0.5048764325,2539148202.46,0
126.730527765,73.0216648532,0.4969824618,0.4969824618,13564393619.2,1
121.082435116,76.197897703,0.4748330789,0.4748330789,13150235389.6,0
128.799132143,72.8318935748,0.5050946359,0.5050946359,6890292554.09,2
128.415282057,73.0671184455,0.5035893414,0.5035893414,3428822261.28,1
130.68670549,69.8547614385,0.5124968843,0.5124968843,5379657668.28,0
131.098159952,70.1268256685,0.5141104312,0.5141104312,5795781288.47,2
128.80205173,71.8748177524,0.5051060852,0.5051060852,8691398862.25,0
129.328507662,71.8715111114,0.5071706183,0.5071706183,4917127584.28,2
128.9113347,73.6762761458,0.5055346459,0.5055346459,3341394079.15,1
123.336985822,76.3301555293,0.4836744542,0.4836744542,3677648466.38,2
120.442675475,77.515680486,0.4723242175,0.4723242175,9822150335.68,1
122.973153564,76.8175219787,0.482247661,0.482247661,1016973965.41,0
126.140684693,75.8223369807,0.4946693517,0.4946693517,-2597609348.51,2
127.722235203,73.9151125262,0.5008715106,0.5008715106,10107161926.9,0
124.568059248,75.8862016619,0.4885021931,0.4885021931,2031527017.87,1
109.34340005,82.2504146429,0.4287976473,0.4287976473,33133107873.3,1
116.748800945,79.5128841265,0.4578384351,0.4578384351,10576192242.3,0
118.360551073,79.3719970599,0.4641590238,0.4641590238,17094267562.2,0
103.333526,83.4623724561,0.4052295137,0.4052295137,97349416722.5,1
120.371762349,77.6529548505,0.4720461269,0.4720461269,11456574596.2,0
127.652551754,73.3866771287,0.5005982422,0.5005982422,9643604028.19,0
123.450281395,76.5953698803,0.4841187506,0.4841187506,904242536.335,1
125.936147554,75.7491343873,0.4938672453,0.4938672453,-1895993600.37,1
128.960740681,73.6263281776,0.5057283948,0.5057283948,881902708.141,0
129.657342657,73.2950505349,0.5084601673,0.5084601673,4939301012.8,0
127.850442497,73.7595639039,0.5013742843,0.5013742843,2406509196.63,0
129.565121714,72.1886063846,0.5080985165,0.5080985165,10680601930,2
125.461154017,75.8820045547,0.4920045256,0.4920045256,-3235936723.2,0
128.448091107,73.8791515024,0.5037180043,0.5037180043,-4443206657.3,2
123.572285362,77.3739102123,0.4845971975,0.4845971975,-6737178110.87,0
125.67355116,76.7615813861,0.4928374555,0.4928374555,-10231389287.5,0
126.866740752,74.0711144055,0.4975166304,0.4975166304,7021200468.88,1
124.067941196,76.3943570821,0.4865409459,0.4865409459,873103741.547,0
127.255884116,74.6697034822,0.4990426828,0.4990426828,-2336017510.64,2
126.858948721,74.7673157654,0.4974860734,0.4974860734,13121611873,2
128.183051368,74.4385097954,0.5026786328,0.5026786328,5178695002.73,1
123.597864769,75.7716107261,0.4846975089,0.4846975089,7287482230.88,2
126.798015362,73.7087152213,0.4972471191,0.4972471191,12458883487.6,0
130.835785264,71.2186683739,0.5130815108,0.5130815108,9029554478.18,0
131.16166975,71.1930879837,0.5143594892,0.5143594892,7714372286.48,1
125.889090918,74.6516409456,0.4936827095,0.4936827095,6787844447.07,2
127.025823521,74.1414138387,0.4981404844,0.4981404844,8559236582.39,0
127.506197695,73.3945595807,0.5000243047,0.5000243047,2766920249.13,0
128.71705562,72.9759015964,0.5047727671,0.5047727671,6244323308.49,1
129.052880844,72.59887464,0.5060897288,0.5060897288,8213512828,2
127.790728044,73.7399122202,0.50114011,0.50114011,1200240683.72,0
127.820445347,73.5028263541,0.5012566484,0.5012566484,1660114576.33,0
125.619443187,74.436532838,0.4926252674,0.4926252674,3305102706.7,1
120.047909824,77.3093953964,0.470776117,0.470776117,6600130286.59,2
116.918197925,79.277375263,0.458502737,0.458502737,6062059701.6,0
117.763542964,79.0375096607,0.4618178155,0.4618178155,2866576916.58,0
86.3423226742,85.2193523314,0.3385973438,0.3385973438,34623665553.2,2
123.198885205,77.0389826943,0.4831328832,0.4831328832,-3185038317.69,0
121.452401406,77.0423331001,0.4762839271,0.4762839271,4265609306.73,0
115.347737253,79.7808711414,0.4523440677,0.4523440677,14550061342.9,0
122.970673508,76.250977993,0.4822379353,0.4822379353,1877671098.07,0
128.11390161,73.5506995895,0.5024074573,0.5024074573,2457918621.56,0
128.169532171,73.4276197482,0.5026256164,0.5026256164,2541436322.56,0
127.21236363,73.9234700993,0.4988720142,0.4988720142,2809577221.83,0
126.299068728,74.5466854164,0.4952904656,0.4952904656,1580119993.84,2
127.869158561,73.6055657402,0.5014476806,0.5014476806,2669874323.62,2
117.318640905,79.2899597732,0.4600731016,0.4600731016,16231433583.8,0
119.547861581,78.1614553848,0.4688151435,0.4688151435,14606006641.3,2
122.328190355,77.9416184578,0.4797183936,0.4797183936,-5582822799.58,0
122.265076142,76.8047738892,0.4794708868,0.4794708868,4457270205,0
128.089228348,73.4247803179,0.5023106994,0.5023106994,1612274590.86,2
119.988504372,78.0665611068,0.4705431544,0.4705431544,3979362001.5,2
119.098915703,77.7215025916,0.4670545714,0.4670545714,7034770632.26,0
112.470581636,80.8091423585,0.4410611045,0.4410611045,13815686409.1,0
96.9994886391,84.4783596633,0.3803901515,0.3803901515,41490439322.9,2
108.740067493,82.2791038675,0.4264316372,0.4264316372,38266481185.5,0
109.204351491,82.0368055934,0.4282523588,0.4282523588,32742343718.4,0
129.888405801,72.0120252312,0.5093662973,0.5093662973,3815614860.52,0
129.403104862,72.7724731149,0.5074631563,0.5074631563,422844705.75,0
115.325952423,80.0274708101,0.452258637,0.452258637,16619734630.5,0
128.793859516,73.6838500099,0.5050739589,0.5050739589,353251652.298,0
129.089199611,73.26163094,0.5062321553,0.5062321553,1092311683.85,0
117.772898235,78.9424983471,0.4618545029,0.4618545029,8418841298.51,0
115.363984957,79.9043185914,0.4524077841,0.4524077841,13120794395.6,0
128.619158343,72.8401289236,0.5043888562,0.5043888562,1801298080.74,0
128.6178155,73.1683623515,0.5043835902,0.5043835902,2030246132.43,0
127.855992248,73.3189063613,0.501396048,0.501396048,13484674279.9,0
128.849154624,72.7839575001,0.5052908024,0.5052908024,8395960639.65,0
127.553717128,73.7566558765,0.5002106554,0.5002106554,5883923115.08,0
128.180910346,73.7269646502,0.5026702367,0.5026702367,6566981410.02,0
120.111161175,77.9263512097,0.4710241615,0.4710241615,9462515887.9,1
100.920997224,83.8978874732,0.3957686166,0.3957686166,39598271262.8,0
109.654812298,81.6613926386,0.4300188718,0.4300188718,14196816107.9,0
114.211762647,80.3233390737,0.4478892653,0.4478892653,7927773340.04,0
111.142431752,81.3368308115,0.4358526735,0.4358526735,10678956744.1,0
129.479316071,71.93691418,0.5077620238,0.5077620238,6687730732.14,0
129.988177517,71.7668970744,0.5097575589,0.5097575589,8245085166.66,0
120.195105901,78.5638909696,0.4713533565,0.4713533565,4494770762.38,0
117.689759495,79.2666077558,0.4615284686,0.4615284686,11801839782.6,0
128.588332828,73.0460903926,0.5042679719,0.5042679719,2938485361.53,0
128.837029602,73.0757324511,0.5052432533,0.5052432533,2447640137.55,0
124.434503199,75.4162722523,0.4879784439,0.4879784439,9598459886.71,0
125.786932194,74.7085938111,0.493282087,0.493282087,5555541333.99,0
125.72786169,75.1039688145,0.493050438,0.493050438,1340940016.78,0
119.988123468,78.1705352274,0.4705416607,0.4705416607,6417458006.45,0
121.063827869,77.8132836258,0.4747601093,0.4747601093,3794307906.39,0
117.710750636,78.8960923115,0.4616107868,0.4616107868,8636602894.46,0
112.355229985,80.9824191454,0.440608745,0.440608745,19398508159.2,0
109.196388687,81.9732540999,0.4282211321,0.4282211321,23414219342.7,0
110.611533113,81.5155692499,0.4337707181,0.4337707181,20545309591.1,0
117.418802029,79.2357433956,0.4604658903,0.4604658903,5556783123.34,0
117.491440896,79.1231700207,0.4607507486,0.4607507486,7632200054.44,0
124.224012645,75.9944772091,0.4871529908,0.4871529908,2302452377.57,1
128.897987409,72.6633450831,0.5054823036,0.5054823036,4778280679.6,0
128.854775638,72.8941360559,0.5053128456,0.5053128456,3842145387.35,1
113.560381169,80.490924936,0.4453348281,0.4453348281,13788985371.7,1
121.683228562,77.0356404995,0.4771891316,0.4771891316,3873907131.76,0
106.918219267,82.5550001892,0.4192871344,0.4192871344,38051696791.2,0
106.163707875,83.0483503371,0.4163282662,0.4163282662,35553442850.1,0
112.078048904,82.0939573817,0.4395217604,0.4395217604,35498061637,0
113.125548233,82.0606800379,0.4436296009,0.4436296009,31833848694.8,0
115.230441391,79.9379450664,0.4518840839,0.4518840839,13231913237.6,0
109.189416923,81.9564481519,0.4281937919,0.4281937919,29222792083.6,0
